,index,date,qty,action_type,order_balance,order_id,product_id,product_name,manufacturer,product_group_code,product_group_name,model_name,stock_balance
0,0,2020-01-01,0,empty,0.0,,,,,,,,
1,1,2020-01-02,0,empty,0.0,,,,,,,,
2,2,2020-01-03,0,empty,0.0,,,,,,,,
3,3,2020-01-04,0,empty,0.0,,,,,,,,
4,4,2020-01-05,0,empty,0.0,,,,,,,,
5,5,2020-01-06,0,empty,0.0,,,,,,,,
6,6,2020-01-07,0,empty,0.0,,,,,,,,
7,7,2020-01-08,0,empty,0.0,,,,,,,,
8,8,2020-01-09,0,empty,0.0,,,,,,,,
9,9,2020-01-10,0,empty,0.0,,,,,,,,
10,2000,2020-01-11,1,stockin,,1791bc67064463ec5ab0be97cdd4badf,95.0,погрузчик JCB JCB 527-58 AGRI,JCB,LDR,Погрузчики,LDR-JCB 527-58 AGRI,1.0
11,10,2020-01-11,0,empty,0.0,,,,,,,,
12,11,2020-01-12,0,empty,0.0,,,,,,,,
13,12,2020-01-13,0,empty,0.0,,,,,,,,
14,13,2020-01-14,0,empty,0.0,,,,,,,,
15,14,2020-01-15,0,empty,0.0,,,,,,,,
16,15,2020-01-16,0,empty,0.0,,,,,,,,
17,16,2020-01-17,0,empty,0.0,,,,,,,,
18,2002,2020-01-18,1,stockin,,e2f54b32a5d2d945def4e809e854c2dc,86.0,Самоходная косилка John Deere W235,John Deere,TL,Прицепное оборудование,TL-W235,1.0
19,17,2020-01-18,0,empty,0.0,,,,,,,,
20,18,2020-01-19,0,empty,0.0,,,,,,,,
21,19,2020-01-20,0,empty,0.0,,,,,,,,
22,20,2020-01-21,0,empty,0.0,,,,,,,,
23,21,2020-01-22,0,empty,0.0,,,,,,,,
24,22,2020-01-23,0,empty,0.0,,,,,,,,
25,23,2020-01-24,0,empty,0.0,,,,,,,,
26,24,2020-01-25,0,empty,0.0,,,,,,,,
27,25,2020-01-26,0,empty,0.0,,,,,,,,
28,26,2020-01-27,0,empty,0.0,,,,,,,,
29,27,2020-01-28,0,empty,0.0,,,,,,,,
30,28,2020-01-29,0,empty,0.0,,,,,,,,
31,29,2020-01-30,0,empty,0.0,,,,,,,,
32,30,2020-01-31,0,empty,0.0,,,,,,,,
33,31,2020-02-01,0,empty,0.0,,,,,,,,
34,32,2020-02-02,0,empty,0.0,,,,,,,,
35,33,2020-02-03,0,empty,0.0,,,,,,,,
36,34,2020-02-04,0,empty,0.0,,,,,,,,
37,35,2020-02-05,0,empty,0.0,,,,,,,,
38,36,2020-02-06,0,empty,0.0,,,,,,,,
39,37,2020-02-07,0,empty,0.0,,,,,,,,
40,38,2020-02-08,0,empty,0.0,,,,,,,,
41,2008,2020-02-08,3,stockin,,62d3af8469c87c5f998018f9b0a04507,128.0,Косилка-плющилка KUHN FC 8830 D,KUHN,TL,Прицепное оборудование,TL-FC 8830 D,3.0
42,2004,2020-02-08,3,stockin,,9bd8686fb01db32aca95acdfc62e4464,117.0,Опрыскиватель KUHN 	STRONGER 3030,KUHN,SPR,Опрыскиватели,SPR-	STRONGER 3030,3.0
43,2006,2020-02-08,1,stockin,,8b0724a7f7efb014b455312998b11d65,105.0,Борона KUHN TDH 8210-36Q,KUHN,TL,Прицепное оборудование,TL-TDH 8210-36Q,1.0
44,39,2020-02-09,0,empty,0.0,,,,,,,,
45,40,2020-02-10,0,empty,0.0,,,,,,,,
46,41,2020-02-11,0,empty,0.0,,,,,,,,
47,42,2020-02-12,0,empty,0.0,,,,,,,,
48,2012,2020-02-12,2,stockin,,ffb6d76daa75025c0d6f3209b234099c,156.0,Трактор John Deere 9420R [420hp] (Tractor 4WD; Tractor 4WD),John Deere,TR,Тракторы,TR-9420R [420hp],2.0
49,43,2020-02-13,0,empty,0.0,,,,,,,,
50,44,2020-02-14,0,empty,0.0,,,,,,,,
51,45,2020-02-15,0,empty,0.0,,,,,,,,
52,46,2020-02-16,0,empty,0.0,,,,,,,,
53,2014,2020-02-16,1,stockin,,bbf35285edaeeb90bb33791df0fb6de1,154.0,Трактор John Deere 9330 [388hp] (Tractor 4WD; CCH),John Deere,TR,Тракторы,TR-9330 [388hp],1.0
54,47,2020-02-17,0,empty,0.0,,,,,,,,
55,48,2020-02-18,0,empty,0.0,,,,,,,,
56,2016,2020-02-18,2,stockin,,ced0a77ec7f311460f62f1d11e299ca7,77.0,Почвообрабатывающая техника John Deere 2633,John Deere,TL,Прицепное оборудование,TL-2633,2.0
57,49,2020-02-19,0,empty,0.0,,,,,,,,
58,50,2020-02-20,0,empty,0.0,,,,,,,,
59,51,2020-02-21,0,empty,0.0,,,,,,,,
60,52,2020-02-22,0,empty,0.0,,,,,,,,
61,53,2020-02-23,0,empty,0.0,,,,,,,,
62,2018,2020-02-24,2,stockin,,d1d06a4a48973070dfd67181e156cb15,214.0,Зерноуборочный комбайн John Deere 9870 STS [440hp] (Combine rotary; Class VIII),John Deere,HARV,Зерноуборочные комбайны,HARV-9870 STS [440hp],2.0
63,54,2020-02-24,0,empty,0.0,,,,,,,,
64,55,2020-02-25,0,empty,0.0,,,,,,,,
65,56,2020-02-26,0,empty,0.0,,,,,,,,
66,57,2020-02-27,0,empty,0.0,,,,,,,,
67,58,2020-02-28,0,empty,0.0,,,,,,,,
68,59,2020-02-29,0,empty,0.0,,,,,,,,
69,60,2020-03-01,0,empty,0.0,,,,,,,,
70,61,2020-03-02,0,empty,0.0,,,,,,,,
71,62,2020-03-03,0,empty,0.0,,,,,,,,
72,2021,2020-03-03,2,stockin,,20c985a7a7d19f31cc6da2484d4286cb,223.0,Зерноуборочный комбайн John Deere S790 [551hp] (Combine rotary; Class IX),John Deere,HARV,Зерноуборочные комбайны,HARV-S790 [551hp],2.0
73,2024,2020-03-03,1,stockin,,d40ad945fb0b82a4643bb4cf39c70eb8,104.0,Борона KUHN TDH 8210-36Q,KUHN,TL,Прицепное оборудование,TL-TDH 8210-36Q,1.0
74,2026,2020-03-04,1,stockin,,c60ff18d6617019b286878156c706a56,11.0,Прицепные опрыскиватели John Deere M740,John Deere,SPR,Опрыскиватели,SPR-M740,1.0
75,63,2020-03-04,0,empty,0.0,,,,,,,,
76,2028,2020-03-05,2,stockin,,05a324993603b50c646747ce079c1e73,26.0,Пресс-подборщик John Deere S180,John Deere,TL,Прицепное оборудование,TL-S180,2.0
77,64,2020-03-05,0,empty,0.0,,,,,,,,
78,65,2020-03-06,0,empty,0.0,,,,,,,,
79,2030,2020-03-07,2,stockin,,b9392604f7cbaf67b0e1cdc39d5f70a9,6.0,Самоходный опрыскиватель John Deere M4040,John Deere,SPR,Опрыскиватели,SPR-M4040,2.0
80,66,2020-03-07,0,empty,0.0,,,,,,,,
81,67,2020-03-08,0,empty,0.0,,,,,,,,
82,2032,2020-03-09,1,stockin,,00b22ceff90a52dbfc7bbc7fd1db0a59,12.0,Прицепные опрыскиватели John Deere M944,John Deere,SPR,Опрыскиватели,SPR-M944,1.0
83,68,2020-03-09,0,empty,0.0,,,,,,,,
84,69,2020-03-10,0,empty,0.0,,,,,,,,
85,70,2020-03-11,0,empty,0.0,,,,,,,,
86,2001,2020-03-11,-1,stockout,,1791bc67064463ec5ab0be97cdd4badf,95.0,погрузчик JCB JCB 527-58 AGRI,JCB,LDR,Погрузчики,LDR-JCB 527-58 AGRI,0.0
87,2034,2020-03-12,1,stockin,,ffb6d76daa75025c0d6f3209b234099c,156.0,Трактор John Deere 9420R [420hp] (Tractor 4WD; Tractor 4WD),John Deere,TR,Тракторы,TR-9420R [420hp],1.0
88,2036,2020-03-12,2,stockin,,205d680c1ecb8132af9b2abc1f490f08,207.0,Трактор John Deere 9520RT [520hp] (Tractor Track; Tractor Track),John Deere,TR,Тракторы,TR-9520RT [520hp],2.0
89,71,2020-03-12,0,empty,0.0,,,,,,,,
90,72,2020-03-13,0,empty,0.0,,,,,,,,
91,73,2020-03-14,0,empty,0.0,,,,,,,,
92,74,2020-03-15,0,empty,0.0,,,,,,,,
93,2040,2020-03-15,3,stockin,,5ace07c6c71c986fc5987305c64cd098,218.0,Зерноуборочный комбайн John Deere S680 [507hp] (Combine rotary; Class IX),John Deere,HARV,Зерноуборочные комбайны,HARV-S680 [507hp],3.0
94,2038,2020-03-15,1,stockin,,20c985a7a7d19f31cc6da2484d4286cb,223.0,Зерноуборочный комбайн John Deere S790 [551hp] (Combine rotary; Class IX),John Deere,HARV,Зерноуборочные комбайны,HARV-S790 [551hp],1.0
95,75,2020-03-16,0,empty,0.0,,,,,,,,
96,76,2020-03-17,0,empty,0.0,,,,,,,,
97,77,2020-03-18,0,empty,0.0,,,,,,,,
98,2042,2020-03-18,1,stockin,,62d3af8469c87c5f998018f9b0a04507,128.0,Косилка-плющилка KUHN FC 8830 D,KUHN,TL,Прицепное оборудование,TL-FC 8830 D,1.0
99,78,2020-03-19,0,empty,0.0,,,,,,,,
100,79,2020-03-20,0,empty,0.0,,,,,,,,
101,80,2020-03-21,0,empty,0.0,,,,,,,,
102,2003,2020-03-22,-1,stockout,,e2f54b32a5d2d945def4e809e854c2dc,86.0,Самоходная косилка John Deere W235,John Deere,TL,Прицепное оборудование,TL-W235,0.0
103,81,2020-03-22,0,empty,0.0,,,,,,,,
104,82,2020-03-23,0,empty,0.0,,,,,,,,
105,83,2020-03-24,0,empty,0.0,,,,,,,,
106,2044,2020-03-25,1,stockin,,788abd6e78eaaf5c83f256a4cbb84b63,162.0,Трактор John Deere 9530 [491hp] (Tractor 4WD; Tractor 4WD),John Deere,TR,Тракторы,TR-9530 [491hp],1.0
107,84,2020-03-25,0,empty,0.0,,,,,,,,
108,2046,2020-03-26,3,stockin,,ce9a4326ed7454d49808f6bd9190904b,160.0,Трактор John Deere 9510R [510hp] (Tractor 4WD; Tractor 4WD),John Deere,TR,Тракторы,TR-9510R [510hp],3.0
109,85,2020-03-26,0,empty,0.0,,,,,,,,
110,86,2020-03-27,0,empty,0.0,,,,,,,,
111,87,2020-03-28,0,empty,0.0,,,,,,,,
112,2051,2020-03-28,1,stockin,,88475c4efa5bb09cbf9573e2b5639274,78.0,Почвообрабатывающая техника John Deere 2633VT,John Deere,TL,Прицепное оборудование,TL-2633VT,1.0
113,2053,2020-03-28,2,stockin,,d40ad945fb0b82a4643bb4cf39c70eb8,104.0,Борона KUHN TDH 8210-36Q,KUHN,TL,Прицепное оборудование,TL-TDH 8210-36Q,2.0
114,2049,2020-03-28,2,stockin,,205d680c1ecb8132af9b2abc1f490f08,207.0,Трактор John Deere 9520RT [520hp] (Tractor Track; Tractor Track),John Deere,TR,Тракторы,TR-9520RT [520hp],2.0
115,2055,2020-03-28,3,stockin,,fd20963094fbf3e47a6aecbe495c9df0,166.0,Трактор John Deere 7830 [205hp] (Tractor MFWD; CCM),John Deere,TR,Тракторы,TR-7830 [205hp],3.0
116,88,2020-03-29,0,empty,0.0,,,,,,,,
117,2058,2020-03-30,2,stockin,,1823fa90ee5fc2a362742cab15361b6a,83.0,Разбрасыватель удобрений John Deere DN456,John Deere,TL,Прицепное оборудование,TL-DN456,2.0
118,89,2020-03-30,0,empty,0.0,,,,,,,,
119,2061,2020-03-31,3,stockin,,2d6b5772236cb013f174a8b70601e1ef,26.0,Пресс-подборщик John Deere S180,John Deere,TL,Прицепное оборудование,TL-S180,3.0
120,90,2020-03-31,0,empty,0.0,,,,,,,,
121,91,2020-04-01,0,empty,0.0,,,,,,,,
122,92,2020-04-02,0,empty,0.0,,,,,,,,
123,2063,2020-04-02,4,stockin,,15eb6f3457e84f97433869677cf2c568,212.0,Зерноуборочный комбайн John Deere 9570 STS [265hp] (Combine rotary; Class V),John Deere,HARV,Зерноуборочные комбайны,HARV-9570 STS [265hp],4.0
124,2066,2020-04-02,1,stockin,,72ce1e71ae64456715f6c3d7c4ba4cf3,129.0,Косилка-плющилка KUHN FC 9530,KUHN,TL,Прицепное оборудование,TL-FC 9530,1.0
125,93,2020-04-03,0,empty,0.0,,,,,,,,
126,2068,2020-04-03,4,stockin,,1c4c277697ff8746c063d7230c080fef,174.0,Трактор John Deere 6130D [130hp] (Tractor MFWD; APH),John Deere,TR,Тракторы,TR-6130D [130hp],4.0
127,94,2020-04-04,0,empty,0.0,,,,,,,,
128,95,2020-04-05,0,empty,0.0,,,,,,,,
129,2072,2020-04-05,2,stockin,,5b714310fbc9e3c9b9a11900f5f84496,196.0,Трактор John Deere 8430 [305hp] (Tractor MFWD; CCH),John Deere,TR,Тракторы,TR-8430 [305hp],2.0
130,96,2020-04-06,0,empty,0.0,,,,,,,,
131,97,2020-04-07,0,empty,0.0,,,,,,,,
132,2074,2020-04-07,2,stockin,,16587a73dadf5df70729e2813f3ba91f,30.0,Косилки-плющилки John Deere 830,John Deere,TL,Прицепное оборудование,TL-830,2.0
133,98,2020-04-08,0,empty,0.0,,,,,,,,
134,99,2020-04-09,0,empty,0.0,,,,,,,,
135,2007,2020-04-09,-1,stockout,,8b0724a7f7efb014b455312998b11d65,105.0,Борона KUHN TDH 8210-36Q,KUHN,TL,Прицепное оборудование,TL-TDH 8210-36Q,0.0
136,2076,2020-04-10,1,stockin,,1feecbc3997abbcfce2c8cbacde757dc,29.0,Косилки-плющилки John Deere 635,John Deere,TL,Прицепное оборудование,TL-635,1.0
137,100,2020-04-10,0,empty,0.0,,,,,,,,
138,101,2020-04-11,0,empty,0.0,,,,,,,,
139,102,2020-04-12,0,empty,0.0,,,,,,,,
140,2013,2020-04-13,-2,stockout,,ffb6d76daa75025c0d6f3209b234099c,156.0,Трактор John Deere 9420R [420hp] (Tractor 4WD; Tractor 4WD),John Deere,TR,Тракторы,TR-9420R [420hp],0.0
141,103,2020-04-13,0,empty,0.0,,,,,,,,
142,104,2020-04-14,0,empty,0.0,,,,,,,,
143,105,2020-04-15,0,empty,0.0,,,,,,,,
144,2009,2020-04-16,-1,stockout,,62d3af8469c87c5f998018f9b0a04507,128.0,Косилка-плющилка KUHN FC 8830 D,KUHN,TL,Прицепное оборудование,TL-FC 8830 D,2.0
145,2005,2020-04-16,-3,stockout,,9bd8686fb01db32aca95acdfc62e4464,117.0,Опрыскиватель KUHN 	STRONGER 3030,KUHN,SPR,Опрыскиватели,SPR-	STRONGER 3030,0.0
146,2078,2020-04-16,1,stockin,,b2423dc7a209483d5acd7cd8264a3e23,71.0,Почвообрабатывающая техника John Deere 2730,John Deere,TL,Прицепное оборудование,TL-2730,1.0
147,106,2020-04-16,0,empty,0.0,,,,,,,,
148,107,2020-04-17,0,empty,0.0,,,,,,,,
149,108,2020-04-18,0,empty,0.0,,,,,,,,
150,2080,2020-04-19,1,stockin,,b3e866d1aa1adf662f8791793863e601,93.0,погрузчик JCB JCB 535-95,JCB,LDR,Погрузчики,LDR-JCB 535-95,1.0
151,2082,2020-04-19,1,stockin,,d2b38fa1282808a7e477deb2002e028a,73.0,Почвообрабатывающая техника John Deere 2230LL,John Deere,TL,Прицепное оборудование,TL-2230LL,1.0
152,109,2020-04-19,0,empty,0.0,,,,,,,,
153,110,2020-04-20,0,empty,0.0,,,,,,,,
154,2017,2020-04-20,-2,stockout,,ced0a77ec7f311460f62f1d11e299ca7,77.0,Почвообрабатывающая техника John Deere 2633,John Deere,TL,Прицепное оборудование,TL-2633,0.0
155,2015,2020-04-21,-1,stockout,,bbf35285edaeeb90bb33791df0fb6de1,154.0,Трактор John Deere 9330 [388hp] (Tractor 4WD; CCH),John Deere,TR,Тракторы,TR-9330 [388hp],0.0
156,111,2020-04-21,0,empty,0.0,,,,,,,,
157,112,2020-04-22,0,empty,0.0,,,,,,,,
