,date,deal_status,qty,product_id,product_name,manufacturer,product_group_code,product_group_name,model_name
0,2021-01-01,empty,0,,,,,,
455,2021-01-01,active,2,72.0,Почвообрабатывающая техника John Deere 2210,John Deere,TL,Прицепное оборудование,TL-2210
456,2021-01-01,active,2,108.0,Культиватор KUHN 	DMR 4855-13,KUHN,TL,Прицепное оборудование,TL-	DMR 4855-13
457,2021-01-01,active,3,219.0,Зерноуборочный комбайн John Deere S690 [551hp] (Combine rotary; Class IX),John Deere,HARV,Зерноуборочные комбайны,HARV-S690 [551hp]
458,2021-01-01,active,2,65.0,Почвообрабатывающая техника John Deere 2100,John Deere,TL,Прицепное оборудование,TL-2100
459,2021-01-01,active,3,185.0,Трактор John Deere 7930 [220hp] (Tractor MFWD; CCM),John Deere,TR,Тракторы,TR-7930 [220hp]
460,2021-01-01,active,4,197.0,Трактор John Deere 8295RT [295hp] (Tractor Track; CCH),John Deere,TR,Тракторы,TR-8295RT [295hp]
461,2021-01-01,active,2,96.0,погрузчик JCB JCB 536-60 Agri,JCB,LDR,Погрузчики,LDR-JCB 536-60 Agri
462,2021-01-01,active,5,43.0,Фронтальные навесные погрузчики John Deere 563,John Deere,TL,Прицепное оборудование,TL-563
463,2021-01-01,active,2,181.0,Трактор John Deere 6195M [195hp] (Tractor MFWD; CCM),John Deere,TR,Тракторы,TR-6195M [195hp]
464,2021-01-01,active,5,76.0,Почвообрабатывающая техника John Deere 200,John Deere,TL,Прицепное оборудование,TL-200
465,2021-01-01,active,2,167.0,Трактор John Deere 7930 [220hp] (Tractor MFWD; CCM),John Deere,TR,Тракторы,TR-7930 [220hp]
466,2021-01-01,active,2,79.0,Разбрасыватель удобрений John Deere DN218,John Deere,TL,Прицепное оборудование,TL-DN218
467,2021-01-01,active,2,6.0,Самоходный опрыскиватель John Deere M4040,John Deere,SPR,Опрыскиватели,SPR-M4040
468,2021-01-01,active,5,207.0,Трактор John Deere 9520RT [520hp] (Tractor Track; Tractor Track),John Deere,TR,Тракторы,TR-9520RT [520hp]
469,2021-01-01,active,4,211.0,Трактор John Deere 9570RT [570hp] (Tractor Track; Tractor Track),John Deere,TR,Тракторы,TR-9570RT [570hp]
470,2021-01-01,active,2,144.0,Разбрасыватель KUHN 8118,KUHN,TL,Прицепное оборудование,TL-8118
471,2021-01-01,active,2,14.0,Прицепные опрыскиватели John Deere M962,John Deere,SPR,Опрыскиватели,SPR-M962
486,2021-01-01,active,4,34.0,Косилки-плющилки John Deere R950R,John Deere,TL,Прицепное оборудование,TL-R950R
485,2021-01-01,active,4,219.0,Зерноуборочный комбайн John Deere S690 [551hp] (Combine rotary; Class IX),John Deere,HARV,Зерноуборочные комбайны,HARV-S690 [551hp]
484,2021-01-01,active,3,202.0,Трактор John Deere 8370RT [370hp] (Tractor Track; CCH),John Deere,TR,Тракторы,TR-8370RT [370hp]
483,2021-01-01,active,3,82.0,Разбрасыватель удобрений John Deere DN350,John Deere,TL,Прицепное оборудование,TL-DN350
482,2021-01-01,active,2,28.0,Косилки-плющилки John Deere 630,John Deere,TL,Прицепное оборудование,TL-630
481,2021-01-01,active,2,154.0,Трактор John Deere 9330 [388hp] (Tractor 4WD; CCH),John Deere,TR,Тракторы,TR-9330 [388hp]
454,2021-01-01,active,2,200.0,Трактор John Deere 8335RT [335hp] (Tractor Track; CCH),John Deere,TR,Тракторы,TR-8335RT [335hp]
480,2021-01-01,active,4,18.0,Пресс-подборщик John Deere V461M,John Deere,TL,Прицепное оборудование,TL-V461M
478,2021-01-01,active,5,90.0,Трактор JCB Fastrac 8330,JCB,TR,Тракторы,TR-Fastrac 8330
477,2021-01-01,active,4,120.0,Опрыскиватель KUHN 	OCEANIS 4500-5600,KUHN,SPR,Опрыскиватели,SPR-	OCEANIS 4500-5600
476,2021-01-01,active,3,53.0,Сеялки точного высева John Deere 1715,John Deere,TL,Прицепное оборудование,TL-1715
475,2021-01-01,active,2,158.0,Трактор John Deere 9460R [460hp] (Tractor 4WD; Tractor 4WD),John Deere,TR,Тракторы,TR-9460R [460hp]
473,2021-01-01,active,2,215.0,Зерноуборочный комбайн John Deere S550 [290hp] (Combine rotary; Class VI),John Deere,HARV,Зерноуборочные комбайны,HARV-S550 [290hp]
472,2021-01-01,active,2,37.0,Косилки-плющилки John Deere F350R,John Deere,TL,Прицепное оборудование,TL-F350R
479,2021-01-01,active,4,132.0,Пресс-подборщик KUHN 	FB 119,KUHN,TL,Прицепное оборудование,TL-	FB 119
453,2021-01-01,active,2,28.0,Косилки-плющилки John Deere 630,John Deere,TL,Прицепное оборудование,TL-630
474,2021-01-01,active,2,47.0,Пневматическая сеялка John Deere 1890,John Deere,TL,Прицепное оборудование,TL-1890
451,2021-01-01,active,2,61.0,Сеялки точного высева John Deere DB55 (междурядье 70),John Deere,TL,Прицепное оборудование,TL-DB55 (междурядье 70)
432,2021-01-01,active,4,183.0,Трактор John Deere 7730 [190hp] (Tractor MFWD; CCM),John Deere,TR,Тракторы,TR-7730 [190hp]
431,2021-01-01,active,2,58.0,Сеялки точного высева John Deere 1795,John Deere,TL,Прицепное оборудование,TL-1795
430,2021-01-01,active,2,173.0,Трактор John Deere 6125M [125hp] (Tractor MFWD; APH),John Deere,TR,Тракторы,TR-6125M [125hp]
429,2021-01-01,active,4,106.0,Борона KUHN TDH 8210-38Q,KUHN,TL,Прицепное оборудование,TL-TDH 8210-38Q
428,2021-01-01,active,4,61.0,Сеялки точного высева John Deere DB55 (междурядье 70),John Deere,TL,Прицепное оборудование,TL-DB55 (междурядье 70)
427,2021-01-01,active,4,12.0,Прицепные опрыскиватели John Deere M944,John Deere,SPR,Опрыскиватели,SPR-M944
433,2021-01-01,active,4,194.0,Трактор John Deere 8345R [345hp] (Tractor MFWD; CCH),John Deere,TR,Тракторы,TR-8345R [345hp]
426,2021-01-01,active,5,213.0,Зерноуборочный комбайн John Deere 9670 STS [305hp] (Combine rotary; Class VI),John Deere,HARV,Зерноуборочные комбайны,HARV-9670 STS [305hp]
423,2021-01-01,active,5,155.0,Трактор John Deere 9410R [410hp] (Tractor 4WD; Tractor 4WD),John Deere,TR,Тракторы,TR-9410R [410hp]
422,2021-01-01,active,5,60.0,Сеялки точного высева John Deere DB37 (междурядье 70),John Deere,TL,Прицепное оборудование,TL-DB37 (междурядье 70)
421,2021-01-01,active,2,114.0,Культиватор KUHN PERFORMER 7000,KUHN,TL,Прицепное оборудование,TL-PERFORMER 7000
420,2021-01-01,active,3,74.0,Почвообрабатывающая техника John Deere 2230FH,John Deere,TL,Прицепное оборудование,TL-2230FH
419,2021-01-01,active,2,146.0,Разбрасыватель KUHN 8132,KUHN,TL,Прицепное оборудование,TL-8132
452,2021-01-01,active,2,79.0,Разбрасыватель удобрений John Deere DN218,John Deere,TL,Прицепное оборудование,TL-DN218
424,2021-01-01,active,5,80.0,Разбрасыватель удобрений John Deere DN224,John Deere,TL,Прицепное оборудование,TL-DN224
434,2021-01-01,active,5,127.0,Косилка-плющилка KUHN FC 10030,KUHN,TL,Прицепное оборудование,TL-FC 10030
425,2021-01-01,active,3,206.0,Трактор John Deere 9510RT [510hp] (Tractor Track; Tractor Track),John Deere,TR,Тракторы,TR-9510RT [510hp]
436,2021-01-01,active,5,19.0,Пресс-подборщик John Deere F440E,John Deere,TL,Прицепное оборудование,TL-F440E
450,2021-01-01,active,4,98.0,Борона KUHN TDH 8210-19,KUHN,TL,Прицепное оборудование,TL-TDH 8210-19
435,2021-01-01,active,4,14.0,Прицепные опрыскиватели John Deere M962,John Deere,SPR,Опрыскиватели,SPR-M962
449,2021-01-01,active,3,163.0,Трактор John Deere 9560R [560hp] (Tractor 4WD; Tractor 4WD),John Deere,TR,Тракторы,TR-9560R [560hp]
448,2021-01-01,active,2,199.0,Трактор John Deere 8320RT [320hp] (Tractor Track; CCH),John Deere,TR,Тракторы,TR-8320RT [320hp]
447,2021-01-01,active,2,181.0,Трактор John Deere 6195M [195hp] (Tractor MFWD; CCM),John Deere,TR,Тракторы,TR-6195M [195hp]
445,2021-01-01,active,5,197.0,Трактор John Deere 8295RT [295hp] (Tractor Track; CCH),John Deere,TR,Тракторы,TR-8295RT [295hp]
444,2021-01-01,active,2,119.0,Опрыскиватель KUHN 	METRIS 3202-4102,KUHN,SPR,Опрыскиватели,SPR-	METRIS 3202-4102
446,2021-01-01,active,2,149.0,Разбрасыватель KUHN 	PS 150,KUHN,TL,Прицепное оборудование,TL-	PS 150
442,2021-01-01,active,3,83.0,Разбрасыватель удобрений John Deere DN456,John Deere,TL,Прицепное оборудование,TL-DN456
441,2021-01-01,active,2,95.0,погрузчик JCB JCB 527-58 AGRI,JCB,LDR,Погрузчики,LDR-JCB 527-58 AGRI
440,2021-01-01,active,3,152.0,Разбрасыватель KUHN PSC 171,KUHN,TL,Прицепное оборудование,TL-PSC 171
439,2021-01-01,active,5,195.0,Трактор John Deere 8370R [370hp] (Tractor MFWD; CCH),John Deere,TR,Тракторы,TR-8370R [370hp]
438,2021-01-01,active,5,64.0,Сеялки точного высева John Deere DB55 (междурядье 45/70),John Deere,TL,Прицепное оборудование,TL-DB55 (междурядье 45/70)
437,2021-01-01,active,3,191.0,Трактор John Deere 8320R [320hp] (Tractor MFWD; CCH),John Deere,TR,Тракторы,TR-8320R [320hp]
443,2021-01-01,active,5,215.0,Зерноуборочный комбайн John Deere S550 [290hp] (Combine rotary; Class VI),John Deere,HARV,Зерноуборочные комбайны,HARV-S550 [290hp]
