,index,date,qty,action_type,order_balance,order_id,product_id,product_name,manufacturer,product_group_code,product_group_name,model_name
0,0,2020-01-01,0,empty,0,,,,,,,
1,2002,2020-01-01,4,order,4,c26b73662fe7d498abbbf76ffb837a24,216.0,Зерноуборочный комбайн John Deere S660 [343hp] (Combine rotary; Class VII),John Deere,HARV,Зерноуборочные комбайны,HARV-S660 [343hp]
2,2001,2020-01-01,8,order,8,fecd38de4988a71e65d64ed804214435,20.0,Пресс-подборщик John Deere F441M,John Deere,TL,Прицепное оборудование,TL-F441M
3,2000,2020-01-01,4,order,4,0edb88b61050aba79bf6dc047dc2c9c7,24.0,Пресс-подборщик John Deere L634,John Deere,TL,Прицепное оборудование,TL-L634
4,1,2020-01-02,0,empty,0,,,,,,,
5,2,2020-01-03,0,empty,0,,,,,,,
6,3,2020-01-04,0,empty,0,,,,,,,
7,4,2020-01-05,0,empty,0,,,,,,,
8,5,2020-01-06,0,empty,0,,,,,,,
9,6,2020-01-07,0,empty,0,,,,,,,
10,7,2020-01-08,0,empty,0,,,,,,,
11,2003,2020-01-08,5,order,5,a0a764058f5303e7445966d5086cbfe5,137.0,Пресс-подборщик KUHN VB 2260,KUHN,TL,Прицепное оборудование,TL-VB 2260
12,2004,2020-01-08,9,order,9,9cd3320484999abf6112af6e182f1928,153.0,Разбрасыватель KUHN 	PSC 181,KUHN,TL,Прицепное оборудование,TL-	PSC 181
13,2005,2020-01-08,8,order,8,d3065691751fa8924b08f87bd646f1ce,60.0,Сеялки точного высева John Deere DB37 (междурядье 70),John Deere,TL,Прицепное оборудование,TL-DB37 (междурядье 70)
14,2006,2020-01-08,7,order,7,dd36202eb40bc21844a3e5a72e03d413,130.0,Косилка-плющилка KUHN 	FC 3161 TL,KUHN,TL,Прицепное оборудование,TL-	FC 3161 TL
15,8,2020-01-09,0,empty,0,,,,,,,
16,9,2020-01-10,0,empty,0,,,,,,,
17,10,2020-01-11,0,empty,0,,,,,,,
18,11,2020-01-12,0,empty,0,,,,,,,
19,12,2020-01-13,0,empty,0,,,,,,,
20,13,2020-01-14,0,empty,0,,,,,,,
