product_id,product_name,Manufacturer,Product_group_name,Product_group_code,Товарная группа 2,model_name,current_stock
1,Самоходный опрыскиватель John Deere R4038,John Deere,Опрыскиватели,SPR,Самоходный опрыскиватель,SPR-R4038,1
2,Самоходный опрыскиватель John Deere R4023,John Deere,Опрыскиватели,SPR,Самоходный опрыскиватель,SPR-R4023,1
3,Самоходный опрыскиватель John Deere 4630,John Deere,Опрыскиватели,SPR,Самоходный опрыскиватель,SPR-4630,2
4,Самоходный опрыскиватель John Deere 4730,John Deere,Опрыскиватели,SPR,Самоходный опрыскиватель,SPR-4730,2
5,Самоходный опрыскиватель John Deere M4030,John Deere,Опрыскиватели,SPR,Самоходный опрыскиватель,SPR-M4030,2
6,Самоходный опрыскиватель John Deere M4040,John Deere,Опрыскиватели,SPR,Самоходный опрыскиватель,SPR-M4040,0
7,Самоходный опрыскиватель John Deere R4140i,John Deere,Опрыскиватели,SPR,Самоходный опрыскиватель,SPR-R4140i,0
8,Самоходный опрыскиватель John Deere R4150i,John Deere,Опрыскиватели,SPR,Самоходный опрыскиватель,SPR-R4150i,3
9,Прицепные опрыскиватели John Deere M724,John Deere,Опрыскиватели,SPR,Прицепные опрыскиватели,SPR-M724,2
10,Прицепные опрыскиватели John Deere M732,John Deere,Опрыскиватели,SPR,Прицепные опрыскиватели,SPR-M732,0
11,Прицепные опрыскиватели John Deere M740,John Deere,Опрыскиватели,SPR,Прицепные опрыскиватели,SPR-M740,3
12,Прицепные опрыскиватели John Deere M944,John Deere,Опрыскиватели,SPR,Прицепные опрыскиватели,SPR-M944,0
13,Прицепные опрыскиватели John Deere M952,John Deere,Опрыскиватели,SPR,Прицепные опрыскиватели,SPR-M952,2
14,Прицепные опрыскиватели John Deere M962,John Deere,Опрыскиватели,SPR,Прицепные опрыскиватели,SPR-M962,2
15,Пресс-подборщик John Deere 560M,John Deere,Прицепное оборудование,TL,Пресс-подборщик,TL-560M,2
16,Пресс-подборщик John Deere V451G,John Deere,Прицепное оборудование,TL,Пресс-подборщик,TL-V451G,3
17,Пресс-подборщик John Deere V451M,John Deere,Прицепное оборудование,TL,Пресс-подборщик,TL-V451M,3
18,Пресс-подборщик John Deere V461M,John Deere,Прицепное оборудование,TL,Пресс-подборщик,TL-V461M,1
19,Пресс-подборщик John Deere F440E,John Deere,Прицепное оборудование,TL,Пресс-подборщик,TL-F440E,3
20,Пресс-подборщик John Deere F441M,John Deere,Прицепное оборудование,TL,Пресс-подборщик,TL-F441M,0
21,Пресс-подборщик John Deere F450E,John Deere,Прицепное оборудование,TL,Пресс-подборщик,TL-F450E,2
22,Пресс-подборщик John Deere L624,John Deere,Прицепное оборудование,TL,Пресс-подборщик,TL-L624,1
23,Пресс-подборщик John Deere L633,John Deere,Прицепное оборудование,TL,Пресс-подборщик,TL-L633,3
24,Пресс-подборщик John Deere L634,John Deere,Прицепное оборудование,TL,Пресс-подборщик,TL-L634,2
25,Пресс-подборщик John Deere S160,John Deere,Прицепное оборудование,TL,Пресс-подборщик,TL-S160,1
26,Пресс-подборщик John Deere S180,John Deere,Прицепное оборудование,TL,Пресс-подборщик,TL-S180,1
27,Косилки-плющилки John Deere 1365,John Deere,Прицепное оборудование,TL,Косилки-плющилки,TL-1365,0
28,Косилки-плющилки John Deere 630,John Deere,Прицепное оборудование,TL,Косилки-плющилки,TL-630,1
29,Косилки-плющилки John Deere 635,John Deere,Прицепное оборудование,TL,Косилки-плющилки,TL-635,0
30,Косилки-плющилки John Deere 830,John Deere,Прицепное оборудование,TL,Косилки-плющилки,TL-830,2
31,Косилки-плющилки John Deere 835,John Deere,Прицепное оборудование,TL,Косилки-плющилки,TL-835,1
32,Косилки-плющилки John Deere 956,John Deere,Прицепное оборудование,TL,Косилки-плющилки,TL-956,2
33,Косилки-плющилки John Deere R870R,John Deere,Прицепное оборудование,TL,Косилки-плющилки,TL-R870R,1
34,Косилки-плющилки John Deere R950R,John Deere,Прицепное оборудование,TL,Косилки-плющилки,TL-R950R,3
35,Косилки-плющилки John Deere R990R,John Deere,Прицепное оборудование,TL,Косилки-плющилки,TL-R990R,1
36,Косилки-плющилки John Deere F310R,John Deere,Прицепное оборудование,TL,Косилки-плющилки,TL-F310R,2
37,Косилки-плющилки John Deere F350R,John Deere,Прицепное оборудование,TL,Косилки-плющилки,TL-F350R,1
38,Фронтальные навесные погрузчики John Deere H480,John Deere,Прицепное оборудование,TL,Фронтальные навесные погрузчики,TL-H480,0
39,Фронтальные навесные погрузчики John Deere 623R,John Deere,Прицепное оборудование,TL,Фронтальные навесные погрузчики,TL-623R,2
40,Фронтальные навесные погрузчики John Deere 643R,John Deere,Прицепное оборудование,TL,Фронтальные навесные погрузчики,TL-643R,0
41,Фронтальные навесные погрузчики John Deere 663R,John Deere,Прицепное оборудование,TL,Фронтальные навесные погрузчики,TL-663R,2
42,Фронтальные навесные погрузчики John Deere 562,John Deere,Прицепное оборудование,TL,Фронтальные навесные погрузчики,TL-562,1
43,Фронтальные навесные погрузчики John Deere 563,John Deere,Прицепное оборудование,TL,Фронтальные навесные погрузчики,TL-563,0
44,Пневматическая сеялка John Deere 730LL,John Deere,Прицепное оборудование,TL,Пневматическая сеялка,TL-730LL,0
45,Пневматическая сеялка John Deere 1830,John Deere,Прицепное оборудование,TL,Пневматическая сеялка,TL-1830,0
46,Пневматическая сеялка John Deere P500,John Deere,Прицепное оборудование,TL,Пневматическая сеялка,TL-P500,1
47,Пневматическая сеялка John Deere 1890,John Deere,Прицепное оборудование,TL,Пневматическая сеялка,TL-1890,0
48,Пневматическая сеялка John Deere N500F ,John Deere,Прицепное оборудование,TL,Пневматическая сеялка,TL-N500F ,2
49,Пневматическая сеялка John Deere 1910,John Deere,Прицепное оборудование,TL,Пневматическая сеялка,TL-1910,0
50,Зерновые сеялки John Deere 455,John Deere,Прицепное оборудование,TL,Зерновые сеялки,TL-455,3
51,Зерновые сеялки John Deere 1590,John Deere,Прицепное оборудование,TL,Зерновые сеялки,TL-1590,2
52,Сеялки точного высева John Deere 1705,John Deere,Прицепное оборудование,TL,Сеялки точного высева,TL-1705,3
53,Сеялки точного высева John Deere 1715,John Deere,Прицепное оборудование,TL,Сеялки точного высева,TL-1715,1
54,Сеялки точного высева John Deere 1745,John Deere,Прицепное оборудование,TL,Сеялки точного высева,TL-1745,0
55,Сеялки точного высева John Deere 1755,John Deere,Прицепное оборудование,TL,Сеялки точного высева,TL-1755,1
56,Сеялки точного высева John Deere 1775,John Deere,Прицепное оборудование,TL,Сеялки точного высева,TL-1775,0
57,Сеялки точного высева John Deere 1775NT,John Deere,Прицепное оборудование,TL,Сеялки точного высева,TL-1775NT,2
