,index,date,qty,action_type,order_balance,order_id,product_id,product_name,manufacturer,product_group_code,product_group_name,model_name
0,0,2020-01-01,0,empty,0,,,,,,,
1,1,2020-01-01,1,order,1,f5cf82c294e56e9eab7da288d32bf07e,29.0,Косилки-плющилки John Deere 635,John Deere,TL,Прицепное оборудование,TL-635
2,3,2020-01-02,0,empty,0,,,,,,,
3,4,2020-01-03,0,empty,0,,,,,,,
4,5,2020-01-04,0,empty,0,,,,,,,
5,6,2020-01-05,0,empty,0,,,,,,,
6,7,2020-01-06,0,empty,0,,,,,,,
7,8,2020-01-07,0,empty,0,,,,,,,
8,13,2020-01-08,0,empty,0,,,,,,,
9,11,2020-01-08,1,order,1,42ac76da942057fb57c6c21631466fe6,215.0,Зерноуборочный комбайн John Deere S550 [290hp] (Combine rotary; Class VI),John Deere,HARV,Зерноуборочные комбайны,HARV-S550 [290hp]
10,9,2020-01-08,8,order,8,a20a206255822cfd264b263255658826,153.0,Разбрасыватель KUHN 	PSC 181,KUHN,TL,Прицепное оборудование,TL-	PSC 181
11,14,2020-01-09,0,empty,0,,,,,,,
12,15,2020-01-10,0,empty,0,,,,,,,
13,16,2020-01-11,0,empty,0,,,,,,,
14,17,2020-01-12,0,empty,0,,,,,,,
15,18,2020-01-13,0,empty,0,,,,,,,
16,19,2020-01-14,0,empty,0,,,,,,,
17,23,2020-01-15,4,order,4,10244178fdc1fca2bd550f8d76cf526a,92.0,погрузчик JCB JCB 541-70,JCB,LDR,Погрузчики,LDR-JCB 541-70
18,34,2020-01-15,0,empty,0,,,,,,,
19,27,2020-01-15,4,order,4,7fbda2b70be210d5a6530b0f40e4299d,6.0,Самоходный опрыскиватель John Deere M4040,John Deere,SPR,Опрыскиватели,SPR-M4040
20,30,2020-01-15,6,order,6,1a3a881af94fdb78ec3f016055176cad,122.0,Косилка-плющилка KUHN 	FC 3125 F,KUHN,TL,Прицепное оборудование,TL-	FC 3125 F
21,20,2020-01-15,5,order,5,9cae5578941b82e42d5b36aedcd13e27,113.0,Культиватор KUHN PERFORMER 6000,KUHN,TL,Прицепное оборудование,TL-PERFORMER 6000
22,35,2020-01-16,0,empty,0,,,,,,,
23,36,2020-01-17,0,empty,0,,,,,,,
24,37,2020-01-18,0,empty,0,,,,,,,
25,10,2020-01-18,-8,delivery,0,a20a206255822cfd264b263255658826,153.0,Разбрасыватель KUHN 	PSC 181,KUHN,TL,Прицепное оборудование,TL-	PSC 181
26,38,2020-01-19,0,empty,0,,,,,,,
27,39,2020-01-20,0,empty,0,,,,,,,
28,40,2020-01-21,0,empty,0,,,,,,,
29,42,2020-01-22,2,order,2,c0d19c1643d4f259a67a3d6a7eee0272,207.0,Трактор John Deere 9520RT [520hp] (Tractor Track; Tractor Track),John Deere,TR,Тракторы,TR-9520RT [520hp]
30,41,2020-01-22,0,empty,0,,,,,,,
31,45,2020-01-23,0,empty,0,,,,,,,
32,46,2020-01-24,0,empty,0,,,,,,,
33,47,2020-01-25,0,empty,0,,,,,,,
34,48,2020-01-26,0,empty,0,,,,,,,
35,49,2020-01-27,0,empty,0,,,,,,,
36,31,2020-01-27,-1,delivery,5,1a3a881af94fdb78ec3f016055176cad,122.0,Косилка-плющилка KUHN 	FC 3125 F,KUHN,TL,Прицепное оборудование,TL-	FC 3125 F
37,50,2020-01-28,0,empty,0,,,,,,,
38,51,2020-01-29,2,order,2,58a1ceefc7aa42d0208333e3fad2d4f2,7.0,Самоходный опрыскиватель John Deere R4140i,John Deere,SPR,Опрыскиватели,SPR-R4140i
39,54,2020-01-29,8,order,8,f36656f57e0dfd81f7707207635d366b,225.0,Зерноуборочный комбайн John Deere 1550 CWS [230hp] (Combine walker; Class V),John Deere,HARV,Зерноуборочные комбайны,HARV-1550 CWS [230hp]
40,57,2020-01-29,5,order,5,78d3fa516636ea3d83724e418636da1b,77.0,Почвообрабатывающая техника John Deere 2633,John Deere,TL,Прицепное оборудование,TL-2633
41,63,2020-01-29,3,order,3,4367416b52d4bf05f147cfae07984ed2,53.0,Сеялки точного высева John Deere 1715,John Deere,TL,Прицепное оборудование,TL-1715
42,62,2020-01-29,0,empty,0,,,,,,,
43,59,2020-01-29,10,order,10,9d74f1faf109e25fbc63b28dcfbfc6a1,191.0,Трактор John Deere 8320R [320hp] (Tractor MFWD; CCH),John Deere,TR,Тракторы,TR-8320R [320hp]
44,65,2020-01-30,0,empty,0,,,,,,,
45,66,2020-01-31,0,empty,0,,,,,,,
46,67,2020-02-01,0,empty,0,,,,,,,
47,68,2020-02-02,0,empty,0,,,,,,,
48,69,2020-02-03,0,empty,0,,,,,,,
49,70,2020-02-04,0,empty,0,,,,,,,
50,71,2020-02-05,0,empty,0,,,,,,,
51,72,2020-02-05,2,order,2,949afbc334eaecd2b5461f10085dba35,216.0,Зерноуборочный комбайн John Deere S660 [343hp] (Combine rotary; Class VII),John Deere,HARV,Зерноуборочные комбайны,HARV-S660 [343hp]
52,75,2020-02-06,0,empty,0,,,,,,,
53,76,2020-02-07,0,empty,0,,,,,,,
54,77,2020-02-08,0,empty,0,,,,,,,
55,78,2020-02-09,0,empty,0,,,,,,,
56,79,2020-02-10,0,empty,0,,,,,,,
57,80,2020-02-11,0,empty,0,,,,,,,
58,91,2020-02-12,0,empty,0,,,,,,,
59,85,2020-02-12,7,order,7,e95dd6b3e4e4943cbf118ac21048ca8f,144.0,Разбрасыватель KUHN 8118,KUHN,TL,Прицепное оборудование,TL-8118
